,era-id,source-id,network,latitude,longitude,state,elevation,start-date,end-date,total_nobs,geometry,index_right,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,IRWINID,ALARM_DATE,CONT_DATE,C_METHOD,CAUSE,OBJECTIVE,GIS_ACRES,COMPLEX_NA,COMPLEX_ID,COMMENTS,FIRE_NUM,DECADES,Shape_Leng,Shape_Area
0,CAHYDRO_CYDC1,CYDC1,CAHYDRO,32.9894,-116.5867,CA,4612.0,2016-12-14 16:52:00+00:00,2020-10-12 13:02:00+00:00,189056,POINT (-116.5867 32.9894),345,2003,CA,USF,CNF,CEDAR,00000000,,2003-10-25,2003-11-05,8,2,1,270686.0,,,,00000087,2000-2009,431692.801144,1559594418.29
1,CNRFC_PHIC1,PHIC1,CNRFC,33.01667,-116.63444,CA,3645.0,2018-04-20 21:48:00+00:00,2023-03-06 18:20:00+00:00,10047,POINT (-116.63444 33.01667),345,2003,CA,USF,CNF,CEDAR,00000000,,2003-10-25,2003-11-05,8,2,1,270686.0,,,,00000087,2000-2009,431692.801144,1559594418.29
2,CNRFC_RMGC1,RMGC1,CNRFC,32.96361,-116.67111,CA,2680.0,2018-04-20 20:33:00+00:00,2023-03-06 19:05:00+00:00,8886,POINT (-116.67111 32.96361),345,2003,CA,USF,CNF,CEDAR,00000000,,2003-10-25,2003-11-05,8,2,1,270686.0,,,,00000087,2000-2009,431692.801144,1559594418.29
3,CNRFC_BNAC1,BNAC1,CNRFC,32.99889,-116.83833,CA,1280.0,2018-04-20 19:18:00+00:00,2023-03-06 16:50:00+00:00,6507,POINT (-116.83833 32.99889),345,2003,CA,USF,CNF,CEDAR,00000000,,2003-10-25,2003-11-05,8,2,1,270686.0,,,,00000087,2000-2009,431692.801144,1559594418.29
4,CNRFC_ESTC1,ESTC1,CNRFC,32.99,-116.75861,CA,2080.0,2018-04-20 20:18:00+00:00,2023-03-06 19:25:00+00:00,4223,POINT (-116.75861 32.99),345,2003,CA,USF,CNF,CEDAR,00000000,,2003-10-25,2003-11-05,8,2,1,270686.0,,,,00000087,2000-2009,431692.801144,1559594418.29
5,CNRFC_ELPC1,ELPC1,CNRFC,32.88222,-116.80694,CA,800.0,2018-05-04 05:33:00+00:00,2023-03-06 18:05:00+00:00,6282,POINT (-116.80694 32.88222),345,2003,CA,USF,CNF,CEDAR,00000000,,2003-10-25,2003-11-05,8,2,1,270686.0,,,,00000087,2000-2009,431692.801144,1559594418.29
6,CNRFC_ECDC1,ECDC1,CNRFC,32.905,-116.64278,CA,3060.0,2018-04-20 18:53:00+00:00,2023-03-06 17:45:00+00:00,7824,POINT (-116.64278 32.905),345,2003,CA,USF,CNF,CEDAR,00000000,,2003-10-25,2003-11-05,8,2,1,270686.0,,,,00000087,2000-2009,431692.801144,1559594418.29
7,CWOP_E4618,E4618,CWOP,33.04717,-116.63233,CA,4321.0,2014-02-26 00:00:00+00:00,2023-03-08 22:16:00+00:00,259075,POINT (-116.63233 33.04717),345,2003,CA,USF,CNF,CEDAR,00000000,,2003-10-25,2003-11-05,8,2,1,270686.0,,,,00000087,2000-2009,431692.801144,1559594418.29
8,CWOP_E7876,E7876,CWOP,32.84817,-117.12067,CA,427.0,2015-09-05 18:34:00+00:00,2016-05-22 07:31:00+00:00,9733,POINT (-117.12067 32.84817),345,2003,CA,USF,CNF,CEDAR,00000000,,2003-10-25,2003-11-05,8,2,1,270686.0,,,,00000087,2000-2009,431692.801144,1559594418.29
9,CWOP_E6268,E6268,CWOP,33.05017,-116.62183,CA,4199.0,2014-12-10 22:13:00+00:00,2014-12-24 20:58:00+00:00,2175,POINT (-116.62183 33.05017),345,2003,CA,USF,CNF,CEDAR,00000000,,2003-10-25,2003-11-05,8,2,1,270686.0,,,,00000087,2000-2009,431692.801144,1559594418.29
10,CWOP_F4645,F4645,CWOP,32.912,-117.064,CA,869.0,2019-03-08 19:04:00+00:00,2023-03-08 22:17:00+00:00,362054,POINT (-117.064 32.912),345,2003,CA,USF,CNF,CEDAR,00000000,,2003-10-25,2003-11-05,8,2,1,270686.0,,,,00000087,2000-2009,431692.801144,1559594418.29
11,CWOP_C2735,C2735,CWOP,32.83333,-117.075,CA,777.0,2004-12-16 00:00:00+00:00,2023-02-28 08:42:00+00:00,736761,POINT (-117.075 32.83333),345,2003,CA,USF,CNF,CEDAR,00000000,,2003-10-25,2003-11-05,8,2,1,270686.0,,,,00000087,2000-2009,431692.801144,1559594418.29
12,CWOP_AS751,AS751,CWOP,32.919,-117.04183,CA,956.0,2007-10-31 00:00:00+00:00,2023-03-08 22:20:00+00:00,231151,POINT (-117.04183 32.919),345,2003,CA,USF,CNF,CEDAR,00000000,,2003-10-25,2003-11-05,8,2,1,270686.0,,,,00000087,2000-2009,431692.801144,1559594418.29
13,CWOP_AT094,AT094,CWOP,33.06156,-116.57361,CA,4487.0,2009-01-01 00:00:00+00:00,2023-03-08 14:27:00+00:00,776357,POINT (-116.57361 33.06156),345,2003,CA,USF,CNF,CEDAR,00000000,,2003-10-25,2003-11-05,8,2,1,270686.0,,,,00000087,2000-2009,431692.801144,1559594418.29
14,CWOP_C5252,C5252,CWOP,32.9103,-117.0597,CA,820.0,2006-02-01 00:00:00+00:00,2010-12-21 21:35:00+00:00,96449,POINT (-117.0597 32.9103),345,2003,CA,USF,CNF,CEDAR,00000000,,2003-10-25,2003-11-05,8,2,1,270686.0,,,,00000087,2000-2009,431692.801144,1559594418.29
15,CWOP_D0062,D0062,CWOP,32.875,-116.63833,CA,3825.0,2008-03-08 00:00:00+00:00,2008-07-15 03:29:00+00:00,1232,POINT (-116.63833 32.875),345,2003,CA,USF,CNF,CEDAR,00000000,,2003-10-25,2003-11-05,8,2,1,270686.0,,,,00000087,2000-2009,431692.801144,1559594418.29
16,CWOP_C7802,C7802,CWOP,33.01733,-116.6115,CA,4390.0,2009-02-05 00:00:00+00:00,2023-03-08 22:15:00+00:00,308493,POINT (-116.6115 33.01733),345,2003,CA,USF,CNF,CEDAR,00000000,,2003-10-25,2003-11-05,8,2,1,270686.0,,,,00000087,2000-2009,431692.801144,1559594418.29
